Name,Points
"Tom Brady","23.92"
"Drew Brees","24.92"
"Aaron Rodgers","21.81"
"Andrew Luck","22.45"
"Russell Wilson","19.67"
"Matthew Stafford","18.91"
"Colin Kaepernick","18.09"
"Peyton Manning","17.56"
"Blake Bortles","18.8"
"Matt Ryan","18.28"
"Andy Dalton","17.27"
"Carson Palmer","17.67"
"Philip Rivers","18.87"
"Eli Manning","20.26"
"Sam Bradford","17.21"
"Joe Flacco","17.4"
"Ryan Tannehill","17.72"
"Jay Cutler","16.8"
"Alex Smith","16.01"
"Teddy Bridgewater","16.48"
"Ryan Fitzpatrick","15.79"
"Cam Newton","16.58"
"Marcus Mariota","16.25"
"Brian Hoyer","14.77"
"Mike Vick","15.34"
"EJ Manuel","13.87"
"Josh McCown","14.27"
"Kirk Cousins","12.81"
"Matt Hasselbeck","0.06"
"Scott Tolzien","0.05"
"Dan Orlovsky","0.06"
"Brock Osweiler","0.05"
"Drew Stanton","0.05"
"Chad Henne","0.05"
"Jimmy Garoppolo","0.05"
"Kellen Clemens","0.06"
"Jimmy Clausen","0.04"
"Matt Schaub","0.05"
"Zach Mettenberger","0.04"
"Mark Sanchez","0.05"
