"0","1"
"Broncos DST","12.5"
"Seahawks DST","9.8"
"Jets DST","9.7"
"Titans DST","9.4"
"Cardinals DST","9"
"Ravens DST","8.3"
"Packers DST","8.1"
"Patriots DST","8"
"Vikings DST","7.6"
"Bengals DST","7.4"
"Redskins DST","7.4"
"Panthers DST","7.3"
"Texans DST","7.1"
"Lions DST","6.8"
"Cowboys DST",""
"Chiefs DST","6.6"
"Raiders DST",""
"Rams DST",""
"Bears DST","6.4"
"Buccaneers DST",""
"Dolphins DST","6.4"
"Eagles DST","6.3"
"Bills DST","6.3"
"Falcons DST","5.9"
"Giants DST","5.3"
"49ers DST","5.1"
"Browns DST","4.8"
"Jaguars DST","4.5"
"Steelers DST","3.9"
"Chargers DST","1.8"
"Saints DST","1.3"
"Colts DST","-0.4"
