"0","1"
"Rob Gronkowski","17.41"
"Antonio Gates","12.78"
"Tyler Eifert","12.91"
"Travis Kelce","12.14"
"Greg Olsen","12.4"
"Jimmy Graham","9.89"
"Richard Rodgers","9.93"
"Julius Thomas","10.32"
"Martellus Bennett","11.48"
"Zach Ertz","9.47"
"Kyle Rudolph","9.65"
"Delanie Walker","9.77"
"Larry Donnell","10.19"
"Charles Clay","10.1"
"Vernon Davis","8.6"
"Gary Barnidge","9.09"
"Jordan Cameron","9.06"
"Owen Daniels","7.72"
"Coby Fleener","7.34"
"Timothy Wright","8.29"
"Benjamin Watson","8.72"
"Crockett Gillmore","8.62"
"Ladarius Green","7.22"
"Jacob Tamme","7.34"
"Derek Carrier","8.43"
"Dwayne Allen","6.81"
"Scott Chandler","5.29"
"Heath Miller","6.85"
"Josh Hill","4.04"
"Darren Fells","4.78"
"Marcedes Lewis","3.18"
"Dion Sims","3.38"
"Anthony Fasano","2.59"
"Jermaine Gresham","4.05"
"Luke Willson","3.36"
"Jerome Cunningham","4.01"
"Jeff Cumberland","3.88"
"Garrett Graham","3.92"
"Brent Celek","2.7"
"Maxx Williams","3.18"
