"0","1"
"A.J. Green","18.34"
"Calvin Johnson","17.31"
"Demaryius Thomas","19.2"
"Julio Jones","18.99"
"Odell Beckham Jr.","18.62"
"DeAndre Hopkins","18.69"
"Randall Cobb","17.94"
"Emmanuel Sanders","17.78"
"Julian Edelman","19.82"
"Antonio Brown","16.6"
"Larry Fitzgerald","17.34"
"Alshon Jeffery","15.35"
"T.Y. Hilton","16.72"
"Jordan Matthews","15.84"
"Jeremy Maclin","16.72"
"Allen Robinson","16.48"
"Keenan Allen","16.14"
"Brandin Cooks","15.27"
"Brandon Marshall","15.79"
"James Jones","12.63"
"Willie Snead","14.15"
"Donte Moncrief","13.24"
"Jarvis Landry","14.71"
"Anquan Boldin","12.91"
"Rueben Randle","11.57"
"John Brown","11.29"
"Allen Hurns","11.46"
"Pierre Garcon","12.33"
"Kendall Wright","11.86"
"Golden Tate","12.76"
"Mike Wallace","11.12"
"Eric Decker","11.27"
"Sammy Watkins","10.86"
"Steve Smith Sr.","12.06"
"Travis Benjamin","10.5"
"Andre Johnson","10.07"
"Leonard Hankerson","11.16"
"Doug Baldwin","10.19"
"Ty Montgomery","9.52"
"Michael Floyd","9.21"
