"0","1"
"Isaiah Crowell","7.04"
"Tevin Coleman","6.77"
"Khiry Robinson","7.18"
"Andre Ellington","8.49"
"Bishop Sankey","7.07"
"Darren Sproles","8.44"
"Dexter McCluster","6.64"
"Theo Riddick","9.67"
"Knile Davis","5.99"
"David Johnson","5.55"
"De'Anthony Thomas","5.99"
"Andre Williams","4.22"
"Mike Davis","6.28"
"Ryan Mathews","4.65"
"Mike Tolbert","5.46"
"Daniel Herron","3.92"
"Chris Polk","3.49"
"Jeremy Langford","3.07"
"Jerick McKinnon","2.85"
"Damien Williams","4.04"
"Josh Robinson","2.78"
"Thomas Rawls","2.9"
"Zac Stacy","2.36"
"Fred Jackson","4.11"
"Kyle Juszczyk","3.53"
"Boobie Dixon","3.54"
"Jonathan Grimes","3.03"
"DeAngelo Williams","2.52"
"Matt Asiata","2.28"
"Ahmad Bradshaw","3.39"
"Jonas Gray","1.76"
"John Kuhn","1.74"
"Corey Grant","2.06"
"Michael Burton","1.35"
"Robert Turbin","2.42"
"Jarryd Hayne","0.55"
"Austin Johnson","0.87"
"Marcus Murphy","0"
"Darrel Young","0.9"
"Jalston Fowler","0.47"
