"0","1"
"Malcom Floyd","8.54"
"Martavis Bryant","8.95"
"Jamison Crowder","10.47"
"Brandon Coleman","8.52"
"Rishard Matthews","9.26"
"Kamar Aiken","9.94"
"Marvin Jones","9.4"
"Eddie Royal","9.87"
"Jermaine Kearse","9.24"
"Cecil Shorts III","8.9"
"Ted Ginn Jr.","9.21"
"Robert Woods","8.57"
"Stefon Diggs","8.55"
"Torrey Smith","8.88"
"Ryan Grant","7.89"
"Justin Hunter","7.76"
"Dexter McCluster","6.64"
"Danny Amendola","7.87"
"Riley Cooper","6.51"
"Lance Moore","7.54"
"Mohamed Sanu","7.22"
"Roddy White","6.79"
"Tyler Lockett","8"
"Devin Smith","7.57"
"Marlon Brown","7.01"
"Dwayne Harris","8.46"
"Kenny Stills","7.41"
"Keshawn Martin","6.94"
"Jarius Wright","7.57"
"Keith Mumphery","6.42"
"Bryan Walters","6.5"
"Jerricho Cotchery","6.87"
"Andrew Hawkins","7.09"
"De'Anthony Thomas","5.99"
"Phillip Dorsett","5.5"
"Harry Douglas","5.82"
"Jordan Norwood","5.63"
"Dontrelle Inman","5.91"
"Chris Hogan","6.31"
"Miles Austin","4.39"
